unit  language  isced11  geo\time  2019  2018  2017  2016  2015  2014  2013  2012
NR  ARA  ED1  AT  121  118  112  142  161  153  140  169
NR  ARA  ED1  BE  0  0  0  0  0  0  0 :
NR  ARA  ED1  BE_FRA  :  :  :  :  :  :  : :
NR  ARA  ED1  BE_VLA  0  0  0  0  0  0  0 :
NR  ARA  ED1  BG  0  0  0  0  0  0  0 :
NR  ARA  ED1  CY  12  22  12  13  16  17  34 :
NR  ARA  ED1  CZ  0  0  0  0  0  0  0 :
NR  ARA  ED1  DE  0  0  0  0  0  0  0  0
NR  ARA  ED1  DK  :  :  :  : :  :  :  0
NR  ARA  ED1  EE  0  0  0  0  0  0  0 :
NR  ARA  ED1  EL  :  :  :  :  :  :  : :
NR  ARA  ED1  ES  80  113  2  127  222  238  169 :
NR  ARA  ED1  EU27_2020  1717  2152  2506  2134  3054 : : :
NR  ARA  ED1  EU28 :  15482.2 : : : : : :
NR  ARA  ED1  FI  :  :  :  :  :  :  : :
NR  ARA  ED1  FR  1024  697  697  358  597  212  120 :
NR  ARA  ED1  HR  0  0  0  0  0  0  0  0
NR  ARA  ED1  HU  0  0  0  21  328  0  0  0
NR  ARA  ED1  IE  :  :  :  :  :  : :  0
NR  ARA  ED1  IS  0  0  0  0  0  0  0 :
NR  ARA  ED1  IT  0  0  0  0  0  0  0 :
NR  ARA  ED1  LI  0  0  0  0  0  0 : :
NR  ARA  ED1  LT  0  0  0  0  0  0  0 :
NR  ARA  ED1  LU  0  0  0  0  0  0  0 :
NR  ARA  ED1  LV  0  0  0  0  0  0  0  0
NR  ARA  ED1  MK  0  0  0  0  0  0  0 :
NR  ARA  ED1  MT  120  133  186  202  264  170  146 :
NR  ARA  ED1  NL  :  :  :  :  : :  0 :
NR  ARA  ED1  NO  0  0  0  0  0  0  0 :
NR  ARA  ED1  PL  298  837  1198  794  1181  :  : :
NR  ARA  ED1  PT  0  0  0  0  0  0  0  0
NR  ARA  ED1  RO  0  0  0  0  0  0  0  0
NR  ARA  ED1  RS :  0  0  0  0  0  0 :
NR  ARA  ED1  SE  62  232  299  477  285  0  0 :
NR  ARA  ED1  SI  0  0  0  0  0  0  0 :
NR  ARA  ED1  SK  0  0  0  0  0  0  0 :
NR  ARA  ED2  AT  85  89  97  106  161  126  83  145
NR  ARA  ED2  BE  0  0  0  0  0  0  0 :
NR  ARA  ED2  BE_FRA  :  :  :  :  :  :  : :
NR  ARA  ED2  BE_VLA  0  0  0  0  0  0  0 :
NR  ARA  ED2  BG  0  0  0  0  0  0  0 :
NR  ARA  ED2  CY  0  0  0  0  0  0  3 :
NR  ARA  ED2  CZ  0  0  0  0  0  0  0 :
NR  ARA  ED2  DE  0  0  0  0  0  0  0  0
NR  ARA  ED2  DK  :  :  :  : :  :  :  0
NR  ARA  ED2  EE  0  0  0  0  0  0  0 :
NR  ARA  ED2  EL  :  :  :  :  :  :  : :
NR  ARA  ED2  ES  84  124  32  163  152  153  146 :
NR  ARA  ED2  EU27_2020  8421  7662  6465  5555  5083 : : :
NR  ARA  ED2  EU28 :  30383 : : : : : :
NR  ARA  ED2  FI  :  :  :  :  :  :  : :
NR  ARA  ED2  FR  7799  6485  5856  4656  4212  2839  2588 :
NR  ARA  ED2  HR  0  0  0  0  0  0  0  0
NR  ARA  ED2  HU  0  0  0  62  245  0  0  0
NR  ARA  ED2  IE  0  0  0  0  0  0  0  0
NR  ARA  ED2  IS  0  0  0  0  0  0  0 :
NR  ARA  ED2  IT  0  46  0  0  0  0  0 :
NR  ARA  ED2  LI  0  0  0  0  0  0 : :
NR  ARA  ED2  LT  0  0  0  0  0  0  0 :
NR  ARA  ED2  LU  0  0  0  0  0  0  0 :
NR  ARA  ED2  LV  0  0  0  0  0  0  0  0
NR  ARA  ED2  MK  0  0  0  0  0  0  0 :
NR  ARA  ED2  MT  61  80  133  139  122  122  95 :
NR  ARA  ED2  NL  :  :  :  :  :  :  0 :
NR  ARA  ED2  NO  0  0  0  0  0  0  0 :
NR  ARA  ED2  PL  200  561  245  291  106  :  : :
NR  ARA  ED2  PT  0  0  0  0  0  0  0  0
NR  ARA  ED2  RO  0  0  0  0  0  0  0  0
NR  ARA  ED2  RS :  0  0  0  0  0  0 :
NR  ARA  ED2  SE  192  277  102  138  85  0  0 :
NR  ARA  ED2  SI  0  0  0  0  0  0  0 :
NR  ARA  ED2  SK  0  0  0  0  0  0  0 :
NR  ARA  ED3  AT  171  179  219  269  248  314  333  288
NR  ARA  ED3  BE  0  0  0  0  0  0  0 :
NR  ARA  ED3  BE_FRA  :  :  :  :  :  :  : :
NR  ARA  ED3  BE_VLA  0  0  0  0  0  0  0 :
NR  ARA  ED3  BG  0  0  0  0  0  0  0 :
NR  ARA  ED3  CY  0  0  0  0  0  0  6 :
NR  ARA  ED3  CZ  0  1  2  0  0  0  2 :
NR  ARA  ED3  DE  0  0  0  0  0  0  0  0
NR  ARA  ED3  DK  260  507  508  382  392  392  309  0
NR  ARA  ED3  EE  0  0  0  0  0  0  0 :
NR  ARA  ED3  EL  :  :  :  :  :  :  : :
NR  ARA  ED3  ES  69  100  11  76  98  79  87 :
